Activity,Activity Detail,2017,2016,2015
Operating Activities,Net Income,48351,45687,53394
Operating Activities,Depreciation,10157,10505,11257
Operating Activities,Adjustments To Net Income,10640,9634,5353
Operating Activities,Changes In Accounts Receivables,-6347,476,-3318
Operating Activities,Changes In Liabilities,8838,-1750,15101
Operating Activities,Changes In Inventories,-2723,217,-238
Operating Activities,Changes In Other Operating Activities,-5318,1055,-283
Operating Activities,Total Cash Flow From Operating Activities,63598,65824,81266
Investing Activities,Capital Expenditures,-12451,-12734,-11247
Investing Activities,Investments,-33542,-32022,-44417
Investing Activities,Other Cash flows from Investing Activities,-453,-1221,-610
Investing Activities,Total Cash Flows From Investing Activities,-46446,-45977,-56274
Financing Activities,Dividends Paid,-12769,-12150,-11561
Financing Activities,Sale Purchase of Stock,-32345,-29227,-34710
Financing Activities,Net Borrowings,29014,22057,29305
Financing Activities,Other Cash Flows from Financing Activities,-1247,-1163,-750
Financing Activities,Total Cash Flows From Financing Activities,-17347,-20483,-17716
Financing Activities,Effect Of Exchange Rate Changes,0,0,0
Total Change,Change In Cash and Cash Equivalents,-195,-636,7276
